Id,eng,ara
535, Absys, أبسيس - لغة برمجية
536, Abu, أبو
537, Abuilding, قيد البناء :: قيد الإنشاء
538, Abulia, فقدان الإرادة :: فقدان القوة
539, Abulic, فاقد الإرادة :: فاقد القوة
540, Abuna, أبونا القسيس :: عميد الكنيسة الحبشيّة
541, Abundance, الكثرة :: غزارة :: وفرة
542, Abundant, وفير :: غزير :: كثير
543, Abundantly, بوفرة :: بغزارة
544, Abusable, قابل لإساءة الإستعمال
545, Abuse, سوء الاستغلال :: ابتذال :: شتيمة :: يسيء استعمال :: يشتم :: عابث
546, Abused, استغلّ :: أساء استعمال :: عبث :: شتم
547, Abuser, المستغلّ :: الشّاتم :: العابث
548, Abusers, المستغلّون :: العابثون :: الشّاتمون
549, Abuses, سوء الاستغلال :: يشتم :: الشّتيمة
550, Abusing, الاستغلال :: الشتيمة :: العبث
551, Abusion, إساءة الإستعمال :: يخدع :: يسيئ استعمال :: الخديعة :: خطأ
552, Abusive, بذيء :: سفيه :: فاسد :: مؤذ
553, Abusively, على نحو بذيء :: بسفالة :: بأذى :: بفساد
554, Abusiveness, الوقاحة :: سفاهة :: بذاءة
555, Abut, يتاخم :: يرتكز على
556, Abutilon, نبات الأبوطيلون
557, Abutment, متاخمة :: محاذاة :: ملتقى شيئين
558, Abutments, الدّعائم
559, Abuts, يتاخم :: يرتكز على
560, Abuttal, أطراف أو حدود اﻷرض
561, Abutted, تاخم :: شارك في نفس الحدود
562, Abutter, المتاخم :: المشارك في نفس الحدود
563, Abutting, المتاخمة :: المتاخم :: المشارك في نفس الحدود :: ملاصق :: محاذ
564, Abuzz, بصوت كأزيز النحل
565, Abvolt, فرق جهد بمقدار واحد من مئة مليون فولت
566, Aby, يحسّن لـ :: يضيف لـ
567, Abye, يحسّن لـ :: يضيف لـ
568, Abysm, الهاوية :: بلا قاع
569, Abysmal, سحيق :: عميق :: لا قعر له
570, Abysmally, بشكل سيّئ
571, Abysms, الهاويات :: جهنم :: هوّة
572, Abyss, الهاوية :: جهنم :: هوّة
573, Abyssal, عميق جدّاً :: لا يقاس عمقه :: غوير
574, Abysses, الهاويات :: اﻷعماق السّحيقة
575, Abyssinia, أثيوبيا :: الحبشة
576, Abyssinian, الحبشيّ :: الأثيوبي
577, AC, مكيّف هواء :: تيّار متردد
578, Acacia, الاكاشا - نبات
579, Acacine, اللّثة
580, Academe, المعهد :: بيئة أكاديمية
581, Academia, النّشاط الجامعيّ :: البيئة الأكاديميّة
582, Academial, أكاديمي
583, Academian, الشّخص الأكاديمي
584, Academic, الأكاديميّ :: أدبي :: جامعي :: دراسي :: مدرسي
585, Academical, أكاديميّ :: اللباس الجامعي
586, Academically, متعلّق بالحياة الأكاديميًّة :: متعلّق بالدّراسة
587, Academician, الأكاديميّ :: عضو هيئة دراسيّة
588, Academicianship, عضويّة شرفيّة في هيئة أكاديميّة
589, Academicism, الأكاديميّة
590, Academics, الحياة الأكاديميّة
591, Academies, الأكاديميّات :: المعاهد :: المؤسّسات العلميّة
592, Academy, الأكاديميّة :: مؤسسة علمية :: معهد
593, Acadia, المقاطعات الفرنسيّة في كندا
594, Acadian, المستوطنون الفرنسيون الأوائل في أكاديا
595, Acajou, شجرة الكاجو
596, Acaleph, أكاليف - نوع سمك الجيلي اللّاذع
597, Acalephans, أكاليف - نوع سمك الجيلي اللّاذع
598, Acalephs, أكاليف - نوع سمك الجيلي اللّاذع
599, Acanth, نبات الأقنثا
600, Acantha, جزء شائك حادّ
601, Acanthi, أكانثي
602, Acanthine, متعلق بـ أو يشبه نبات الأقنثا
603, Acanthophis, ثعابين الإلابيد الأستراليّة
604, Acanthosis, ورم حميد
605, Acanthurus, سمك الأكانثرس
606, Acanthus, نبات الأقنثا
607, Acanthuses, نبات الأقنثا
608, Acapulco, ميناء أكابولكو :: منتجع  أكابولكو
609, Acari, نوع من الدّود
610, Acaricide, مبيد حشرات
611, Acarid, أكاريد - نوع من القمل
612, Acaridan, فصيلة الحشرات التي تضم الديدان والقمل
613, Acarina, الديدان والقمل
614, Acarine, الديدان أو القمل
615, Acaroid, كما الدّودة
616, Acarophobia, الرّهبة من الحشرات
617, Acarpous, غير مثمر
618, Acarus, أكارس - نوع من الديدان
619, Acates, الطّعام الشّهيّ
620, Acaudal, عديم الذيل
621, Acaudate, عديم الذيل
622, Acaulescent, عديم الساق
623, Accad, أكاد - منطقة بلاد الرّافدين القديمة
624, Accadian, التّعلّق بالجنس الذي عاش في بابل قبل الغزو الأشوريّ
625, Accede, يقبل بعمل الآخرين :: يوافق :: ينصاع
626, Acceded, وافق :: قبل :: إنصاع
627, Accedence, القبول :: الموافقة :: الإنصياع :: التلبية
628, Acceder, المنضمّ :: الملبّي :: الموافق
629, Accedes, يقبل :: يوافق :: يلبّي :: ينصاع
630, Acceding, القبول :: الموافقة :: الإنصياع :: التلبية
631, Accelerando, إيقاع متزايد تدريجيًّا للموسيقى
632, Accelerate, سرّع :: عجّل :: يسرّع :: يعجّل
633, Accelerated, أسرع :: متسارع :: مسرّع :: معجّل :: مُعجَّل
634, Accelerates, يسرع :: يعجّل
635, Accelerating, الإسراع :: العجلة
636, Acceleratingly, بشكل متسارع :: بعجلة
637, Acceleration, السّرعة :: تسريع :: إسراع :: تعجيل
638, Accelerative, تسارعي :: تعجّلي
639, Accelerator, دوّاسة البنزين :: المسرع :: مُعجِّل
640, Accelerators, دوّاسات البنزين :: المعجّلات :: المسرّعات
641, Acceleratory, ميّال إلى زيادة السّرعة
642, Accelerometer, المعجل :: مقياس التسارع
643, Accelerometers, أجهزة لقياس التّسارع
644, Accend, يأجج به النار :: يتوهج :: يهيج
645, Accension, إشعال النار :: التّوهّج :: إشعال :: اشتعال
646, Accent, اللّكنة :: لهجة :: نبرة
647, Accented, شدّد ::  أكّد :: ركّز الإنتباه
648, Accenting, التّشديد :: التّأكيد :: تركيز الإنتباه
649, Accentor, المغنّي :: عصفور مغنّي
650, Accents, اللّكنات
651, Accentual, متعلّق باللّكنات
652, Accentually, بصورة تتناسب مع اللّكنة
653, Accentuate, أبرز :: يضع :: ينبر
654, Accentuated, أبرز :: أظهر أهمّية الشيء
655, Accentuates, يبرز :: يظهر أهمّية الشيء
656, Accentuating, الإبراز :: إظهار أهمّيّة الشيء
657, Accentuation, الإبراز :: تفخيم
658, Accept, اقبل :: رضي :: يرضى :: يقبل
659, Acceptability, القبول :: الرّضا :: الإستحسان
660, Acceptable, مقبول :: مرض
661, Acceptableness, القبول :: الرّضا :: الإستحسان
662, Acceptably, على نحو مقبول :: بشكل مُرْضٍ
663, Acceptance, القبول :: التلبية :: تقبُّل :: موافقة
664, Acceptances, القبول :: التلبية :: تقبُّل :: موافقة
665, Acceptant, متقبّل :: راغب في القبول
666, Acceptation, الاستحسان :: حظوة :: قبول
667, Accepted, قبل :: مقبول :: مُعترف به :: مستحسن
668, Acceptedly, بشكل مقبول :: متّفق عليه :: متعارف عليه
669, Accepter, القابل :: المُستقبِل
670, Accepters, القابلون :: الموافقون
671, Acceptilation, التحرر من الدّين او الإرتباط :: الصّفح :: الغفران
672, Accepting, القبول :: الموافقة
673, Acceptingly, بشكل مقبول :: بصيغة القبول :: بصيغة الموافقة
674, Acceptingness, القبول :: الموافقة
675, Acception, القبول :: الإستقبال :: الإستحسان :: الحظوة
676, Acceptive, موافق :: متّجه نحو الموافقة
677, Acceptor, الموافق :: المُستحسِن :: القابل :: المُستقبِل
678, Acceptors, الموافقون :: المُستحسِنون :: القابلون :: المُستقبِلون
679, Accepts, يقبل :: يستلم :: يوافق :: يستحسن
680, Access, المدخل :: الوصول :: الإقتراب
681, Accessaries, المساعدون في إرتكاب الجريمة
682, Accessary, المساعد في إرتكاب الجريمة
683, Accessed, وصل :: حصل على طريقة للدّخول
684, Accesses, المداخل :: يصل الى
685, Accessibility, القرب :: سهولة المنال :: إمكانية الوصول
686, Accessible, ممكن الوصول إليه :: منفتح
687, Accessibleness, الوصولية
688, Accessibly, بشكل قريب :: بطريقة سهلة للوصول اليه
689, Accessing, الوصول :: الحصول على مدخل
690, Accession, التّبوّء :: الإضافة :: الإعتلاء :: الزيادة
691, Accessions, التّبوّء :: الإضافة :: الإعتلاء :: الزيادة
692, Accessive, إضافي :: زائد :: فائض
693, Accessorial, إضافيّ :: ثانوي
694, Accessories, الإكسسوارات :: الإضافات :: الأشياء الثّانوية
695, Accessory, الإكسسوار :: ثانوي :: ملحق
696, Accidence, علم الصّرف :: الإعراب
697, Accident, الحادث :: إصابة :: مصيبة :: طارئ :: مصادفة
698, Accidental, مفاجئ :: عرضي :: طارئ :: غير جوهري
699, Accidentally, بصورة غير متعمّدة :: مصادفة :: عرضاً
700, Accidentalness, العرضية :: المصادفة :: الغير جوهريّة
701, Accidently, بالصدفة :: عرضيّاًً :: بطريقة غير متعمّدة
702, Accidents, الحوادث :: العوارض :: الإصابات :: المصائب
703, Accidie, البلادة :: سبات :: خامل :: كسول
704, Accipiter, الصّقر - نوع من الطّيور الجارحة
705, Accipiters, الصّقور - جمع صقر. من الطّيور الجارحة
706, Accipitres, الصّقور - جمع صقر. من الطّيور الجارحة
707, Accipitridae, النسور ::  الصقور
708, Accismus, الرّفض المتكلّف :: تصنّع الخجل
709, Acclaim, يهلّل :: تصفيق :: هتاف
710, Acclaimed, هلّل :: صفّق :: هتف
711, Acclaimer, المهلّل :: المصفّق :: الهاتف
712, Acclaiming, التّصفيق :: الهتاف :: التهليل
713, Acclaims, يهلّل :: يصفّق :: يهتف
714, Acclamation, التّهليل :: الترحيب :: التّصفيق
715, Acclamations, التّهليلات :: التّرحيبات :: التّصفيقات
716, Acclimatation, التّكيّف :: التّأقلم :: أقلمة
717, Acclimate, تأقلم :: يؤقلم
718, Acclimated, تأقلم :: تكيّف
719, Acclimates, يتأقلم :: يتكيّف
720, Acclimating, التّأقلم :: التّكيّف
721, Acclimation, التّأقلم :: التّكيّف
722, Acclimatisation, التّكيّف :: التّأقلم
723, Acclimatization, التّكيّف :: التّأقلم
724, Acclimatize, تأقلم :: يؤقلم :: يتأقلم
725, Acclimatized, تأقلم :: تكيّف :: متأقلم :: متكيّف
726, Acclimatizer, المأقلم :: المُكيّف
727, Acclimatizes, يتأقلم :: يتكيّف
728, Acclimatizing, التّأقلم :: التّكيّف
729, Acclivities, طّرق ذات ميل الى الأعلى. كما الطّريق المؤدّية الى أعلى الجبل
730, Acclivity, ارتفاع حاد :: صعود
731, Acclivous, منحدر لأعلى :: متحدر صعداً :: متصعد
732, Accoil, يجمّع :: يجمع مع بعض
733, Accolade, التّقدير :: احتضان :: معانقة
734, Accolades, التّقديرات :: الإحتضان :: المعانقة
735, Accomac, مدينة أكوماك
736, Accommodate, استوعب :: آوى :: كيّف :: يكيف :: يلائم
737, Accommodated, استوعب :: آوى :: كيّف :: لائم
